ads_txt_line,ad_system,seller_id,relationship,cert_authority_id,sellers_json_found,seller_type,seller_name,seller_domain
1210,google.com,pub-9115524111147081,RESELLER,f08c47fec0942fa0,NO,,,
1211,google.com,pub-9135355251665930,RESELLER,f08c47fec0942fa0,YES,BOTH,Greeter HOLDINGS LTD,opamarketplace.com
1212,google.com,pub-9148265802523938,RESELLER,f08c47fec0942fa0,NO,,,
1213,google.com,pub-9341661452948405,RESELLER,f08c47fec0942fa0,NO,,,
1214,google.com,pub-9404419171574902,RESELLER,f08c47fec0942fa0,NO,,,
1215,google.com,pub-9437908988958594,RESELLER,,NO,,,
1216,google.com,pub-9507736279911916,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,,
1217,google.com,pub-9537482965432740,RESELLER,,NO,,,
1218,google.com,pub-9557089510405422,RESELLER,f08c47fec0942fa0,YES,BOTH,"33Across, Inc.",33across.com
1219,google.com,pub-9685734445476814,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,Sharethrough Inc,
1220,google.com,pub-9790762811057699,RESELLER,f08c47fec0942fa0,YES,BOTH,EX.CO Technologies LTD,playbuzz.com
1221,google.com,pub-9829476400767085,DIRECT,f08c47fec0942fa0,YES,BOTH,ShowHeroes SE,showheroes.com
1222,google.com,pub-9857612698505806,RESELLER,f08c47fec0942fa0,YES,BOTH,OMG Studios LTD,omgstudios.com
1223,google.com,pub-9875256246856607,DIRECT,f08c47fec0942fa0,YES,BOTH,集雅科技股份有限公司,gliacloud.com
1224,google.com,pub-9875256246856607,RESELLER,f08c47fec0942fa0,YES,BOTH,集雅科技股份有限公司,gliacloud.com
1225,google.com,pub-9906390458639046,RESELLER,,NO,,,
1226,google.com,pub-9910893758418484,DIRECT,,NO,,,
1227,google.com,pub-9945624415527048,DIRECT,f08c47fec0942fa0,NO,,,
